# DIST_PNC,OXFORD_COMMAS,NUM_PARAGRAPHS,NORM_FULL_STOPS,NORM_COMMAS,AVG_SENT_LEN,UNIGRAM_OVERLAP,BIGRAM_OVERLAP,TRIGRAM_OVERLAP,MATCHES_VOCAB_5K,MATCHES_VOCAB_10K,POLARITY,SUBJECTIVITY,SENTIMENT_ES,SENTIMENT_ML,SENTIMENT_ML_SCORE
6,0,2,0.18333333,0.01666667,9.07894737,0.00632911,0.00401606,0.00384615,0.69921875,0.03515625,-0.06856209,0.48398693,0,-1,0
4,1,1,0.08383234,0.04790419,25.76923077,0.00662252,0.00403226,0.00381679,0.74409449,0.02362205,0.0745614,0.58991228,0,-1,0
2,5,8,0.08661417,0.0984252,18.62962963,0.00471698,0.00280112,0.0025974,0.69553073,0.04748603,0.11818182,0.54393939,0,-1,0.25
7,0,1,0.13402062,0.02061856,12.07142857,0.0106383,0.00806452,0.0078125,0.64615385,0.02307692,-0.07777778,0.77222222,0,-1,0.25
4,6,5,0.0995671,0.1038961,17.22222222,0.00478469,0.00291545,0.00277778,0.76162791,0.02034884,0.09765625,0.56458333,0,-1,0
3,0,1,0.06372549,0.05882353,27.76923077,0.00588235,0.00377358,0.00352113,0.58064516,0.05376344,0.05622222,0.48477778,0,-1,0
5,0,2,0.14705882,0.05392157,11.56666667,0.00645161,0.00416667,0.00389105,0.72332016,0.00395257,-0.13112245,0.54846939,0,-1,0
3,0,1,0.13529412,0.04705882,49.42857143,0.00645161,0.00396825,0.00364964,0.76136364,0.03030303,-0.10833333,0.50555556,0,-1,0.25
3,2,2,0.08955224,0.02985075,22.58333333,0.0070922,0.00429185,0.00404858,0.82071713,0.01593625,-0.03425439,0.41710526,0,1,1
2,2,1,0.11643836,0.05479452,18.875,0.00666667,0.00421941,0.00401606,0.764,0.036,0.07311429,0.62942857,0,-1,0.25
2,0,1,0.13422819,0.0738255,18.26315789,0.00714286,0.00440529,0.00393701,0.75769231,0.01153846,-0.09477273,0.63333333,0,-1,0
2,1,1,0.17692308,0.03846154,62,0.00694444,0.0041841,0.00393701,0.65461847,0.02811245,-0.20138889,0.57222222,0,-1,0
2,2,1,0.08695652,0.10869565,24.25,0.00961538,0.00662252,0.00636943,0.72258065,0.03225806,-0.01203704,0.50687831,0,-1,0
3,0,1,0.13772455,0.04191617,13.86956522,0.00806452,0.00429185,0.00383142,0.71691176,0.02573529,-0.1157754,0.48217469,0,0,0.5
7,1,5,0.12972973,0.11351351,14.03846154,0.00581395,0.00404858,0.00389105,0.71774194,0.02016129,-0.05401961,0.45421569,0,-1,0
2,3,1,0.11320755,0.04402516,25.69230769,0.00666667,0.00384615,0.00367647,0.69776119,0.01865672,-0.18278388,0.68754579,0,-1,0
1,0,1,0.21359223,0,10.04545455,0.00970874,0.00657895,0.00625,0.64473684,0.00657895,-0.25486111,0.69768519,0,-1,0
6,2,1,0.06934307,0.05109489,32.26315789,0.00384615,0.002079,0.00197628,0.77217742,0.02419355,0.02070707,0.45530303,0,-1,0.25
3,2,3,0.07142857,0.05102041,27.53333333,0.00529101,0.0031746,0.00304878,0.75,0.0327381,-0.22857143,0.7327381,0,-1,0
5,2,1,0.09056604,0.06415094,19.17391304,0.00529101,0.00328947,0.00308642,0.67484663,0.02453988,0.21004902,0.3877451,0,1,0.75
7,1,1,0.12643678,0.06896552,13.73529412,0.0046729,0.00294985,0.00278552,0.67816092,0.01724138,0.11712008,0.46145022,0,-1,0.25
2,0,1,0.13068182,0.03409091,14.12,0.00645161,0.004,0.0037037,0.70656371,0.02316602,0.24090909,0.4719697,0,1,1
3,4,5,0.125,0.05625,19.05555556,0.00617284,0.00393701,0.0037037,0.68650794,0.05555556,0.26960526,0.48070175,0,-1,0
6,2,4,0.09142857,0.08571429,15.75,0.0106383,0.00719424,0.00649351,0.71518987,0.00632911,0.19010417,0.6,0,-1,0.25
5,1,6,0.18125,0.05625,12.2962963,0.00649351,0.00409836,0.00387597,0.71138211,0.01626016,-0.00236111,0.53541667,0,1,1
6,0,1,0.13425926,0.05555556,12.76666667,0.00540541,0.0035461,0.00338983,0.73144876,0.01060071,0.35272989,0.69622332,0,-1,0.25
3,2,1,0.10326087,0.06521739,20.5,0.00568182,0.0034965,0.00330033,0.75083056,0.02990033,0.3872449,0.54744898,0,1,1
8,0,5,0.12448133,0.04564315,12.48275862,0.00740741,0.00440529,0.00409836,0.62698413,0.03968254,0.22423469,0.61556122,0,1,1
4,3,1,0.10454545,0.04090909,12.73333333,0.00653595,0.0037594,0.00334448,0.70261438,0.05555556,0.39721154,0.51348291,0,1,0.75
4,1,1,0.07647059,0.09411765,25.92307692,0.00617284,0.00374532,0.00352113,0.78853047,0.03584229,0.34962121,0.5375,0,-1,0.25
4,0,2,0.08860759,0.10759494,23.69230769,0.00735294,0.00413223,0.00381679,0.78409091,0.01893939,0.24817927,0.77759104,0,-1,0.25
4,3,1,0.10982659,0.0982659,16.9,0.00699301,0.00414938,0.003861,0.76425856,0.02281369,0.21895833,0.62573718,0.00000053,1,1
3,2,3,0.10628019,0.07729469,16.9047619,0.0060241,0.00409836,0.00396825,0.67578125,0.01953125,0.49136364,0.70363636,0,1,1
4,0,1,0.09852217,0.00492611,17.45,0.00787402,0.0045045,0.00403226,0.7027027,0.02316602,0.0110101,0.49505051,0,0,0.5
2,1,1,0.11538462,0.04807692,17.08333333,0.00847458,0.00564972,0.00564972,0.78977273,0.00568182,0.38712963,0.55916667,0,1,0.75
5,0,2,0.09756098,0.05365854,19.61904762,0.00534759,0.00338983,0.00314465,0.66775244,0.03257329,0.29975,0.5975,0,1,1
5,1,14,0.09913793,0.07758621,15.17857143,0.00502513,0.00324675,0.00314465,0.68227425,0.04682274,0.01674242,0.55636364,0,1,0.75
2,2,1,0.11881188,0.05940594,18.52380952,0.00546448,0.00327869,0.00309598,0.72012579,0.05974843,0.32058824,0.56470588,0,-1,0.25
4,0,1,0.07284768,0.0397351,22.09090909,0.00980392,0.00649351,0.00617284,0.67073171,0.03658537,0.22789773,0.62125,0,0,0.5
4,0,1,0.08287293,0.01657459,27.14285714,0.00555556,0.00332226,0.00316456,0.71290323,0.03225806,0.25641667,0.52675,0,1,1
3,1,1,0.07801418,0.08510638,24.09090909,0.00775194,0.00502513,0.00454545,0.81497797,0.03964758,0.18636364,0.56363636,0,1,1
2,0,1,0.12258065,0.01290323,18.33333333,0.00724638,0.004,0.00364964,0.74368231,0.03610108,0.3765873,0.67539683,0,-1,0
4,1,1,0.1595092,0.07361963,13.92,0.00632911,0.00408163,0.00387597,0.70196078,0.01960784,0.19685185,0.61638889,0,1,1
4,1,1,0.10059172,0.04142012,17.89473684,0.00657895,0.00398406,0.00369004,0.76173285,0.01444043,0.35031328,0.52111529,0,1,1
2,4,6,0.11494253,0.10344828,19.70588235,0.00645161,0.00396825,0.00377358,0.71031746,0.02380952,0.38324784,0.6112381,0,1,0.75
4,0,2,0.0755814,0.0872093,21.26666667,0.00675676,0.0041841,0.00398406,0.75298805,0.03585657,0.09621212,0.31666667,0,1,0.75
2,1,2,0.14728682,0.07751938,23,0.00735294,0.00507614,0.00490196,0.62755102,0.04591837,0.13333333,0.43611111,0,-1,0
2,0,1,0.16666667,0,12,0.0625,0.05555556,0.05555556,0.86363636,0.04545455,0.85,1,0.01771662,1,1
6,0,1,0.14393939,0.00757576,10.14285714,0.00970874,0.00689655,0.00636943,0.625,0.06875,0.3760989,0.59835165,0,1,1
4,0,1,0.1,0.02222222,20.11764706,0.00617284,0.003663,0.00338983,0.70169492,0.02372881,0.22630071,0.49550265,0,1,0.75
5,0,4,0.07834101,0.04147465,23.23529412,0.00625,0.00367647,0.0033557,0.65878378,0.03716216,0.14026316,0.47368421,0,-1,0.25
4,0,1,0.16521739,0.02608696,12.70588235,0.00970874,0.00636943,0.00588235,0.79329609,0,0.07542335,0.41568627,0,0,0.5
6,1,1,0.04705882,0.03529412,27.44444444,0.00740741,0.00549451,0.00529101,0.56185567,0.07216495,0.08888889,0.43518519,0,-1,0
